#Measurement data
#24.07.2016 08:31:49

#Time (days)	Power (W)
0.010390	3.640000
0.010401	3.640000
0.010413	3.640000
0.010424	3.640000
0.010436	3.640000
0.010448	3.640000
0.010459	3.640000
0.010471	3.640000
0.010482	3.640000
0.010494	3.640000
0.010505	3.640000
0.010517	3.640000
0.010529	3.640000
0.010540	3.640000
0.010552	3.640000
0.010563	3.570000
0.010575	3.570000
0.010587	3.570000
0.010598	3.640000
0.010610	3.640000
0.010621	3.640000
0.010633	3.640000
0.010645	3.640000
0.010656	3.640000
0.010668	3.640000
0.010679	3.570000
0.010691	3.570000
0.010702	3.640000
0.010714	3.640000
0.010725	3.640000
0.010737	3.570000
0.010749	3.570000
0.010762	3.570000
0.010772	3.570000
0.010783	3.570000
0.010795	3.570000
0.010807	3.570000
0.010818	3.570000
0.010830	3.570000
0.010841	3.570000
0.010853	3.570000
0.010864	3.570000
0.010876	3.570000
0.010887	3.570000
0.010899	3.570000
0.010911	3.570000
0.010922	3.570000
0.010934	3.570000
0.010945	3.570000
0.010957	3.570000
0.010968	3.570000
0.010980	3.640000
0.010991	3.640000
0.011003	3.640000
0.011015	3.640000
0.011026	3.640000
0.011038	3.640000
0.011050	3.570000
0.011061	3.570000
0.011072	3.570000
0.011084	3.570000
0.011096	3.570000
0.011107	3.570000
0.011119	3.640000
0.011131	3.640000
0.011142	3.640000
0.011154	3.640000
0.011165	3.640000
0.011177	3.640000
0.011188	3.640000
0.011200	3.640000
0.011211	3.640000
0.011223	1142.040000
0.011235	1142.040000
0.011246	1142.040000
0.011258	1137.180000
0.011269	1137.180000
0.011281	1137.180000
0.011292	1129.740000
0.011304	1129.740000
0.011316	1129.740000
0.011327	1129.740000
0.011339	643.150000
0.011350	643.150000
0.011362	3.570000
0.011374	3.570000
0.011385	3.570000
0.011397	3.640000
0.011408	3.640000
0.011420	3.640000
0.011431	3.570000
0.011443	3.570000
0.011454	3.570000
0.011466	3.640000
0.011478	3.640000
0.011489	3.640000
0.011501	3.640000
0.011513	3.640000
0.011524	3.640000
0.011535	3.570000
0.011547	3.570000
0.011559	3.570000
0.011570	3.570000
0.011582	3.570000
0.011594	3.570000
0.011605	3.570000
0.011617	3.570000
0.011628	3.570000
0.011640	3.640000
0.011651	3.640000
0.011663	3.640000
0.011675	3.640000
0.011686	3.640000
0.011698	3.640000
0.011709	3.570000
0.011721	3.570000
0.011732	3.570000
0.011744	3.570000
0.011755	3.570000
0.011767	3.570000
0.011779	3.570000
0.011790	3.570000
0.011802	3.570000
0.011813	3.570000
0.011825	3.640000
0.011837	3.640000
0.011848	3.570000
0.011860	3.570000
0.011871	3.570000
0.011883	3.570000
0.011894	3.570000
0.011906	3.570000
0.011918	3.570000
0.011929	3.570000
0.011941	3.570000
0.011952	3.570000
0.011964	3.570000
0.011975	3.570000
0.011987	3.570000
0.011999	3.640000
0.012010	3.640000
0.012022	3.570000
0.012033	3.570000
0.012045	3.570000
0.012056	3.570000
0.012068	3.570000
0.012080	3.570000
0.012091	3.570000
0.012103	3.570000
0.012114	3.570000
0.012126	3.570000
0.012137	3.570000
0.012149	3.570000
0.012160	3.570000
0.012172	3.570000
0.012184	3.570000
0.012195	3.570000
0.012207	3.570000
0.012218	3.570000
0.012230	3.570000
0.012242	3.570000
0.012253	3.570000
0.012265	3.570000
0.012276	3.570000
0.012288	3.570000
0.012299	3.570000
0.012311	3.570000
0.012323	3.570000
0.012334	3.570000
0.012346	3.570000
0.012357	3.570000
0.012369	3.570000
0.012380	3.570000
0.012392	3.570000
0.012404	3.570000
0.012415	3.570000
0.012427	3.570000
0.012438	3.500000
0.012450	3.500000
0.012462	3.500000
0.012473	3.500000
0.012485	3.570000
0.012496	3.570000
0.012508	3.570000
0.012519	3.570000
0.012531	3.570000
0.012542	3.570000
0.012554	3.570000
0.012566	3.570000
0.012577	3.570000
0.012589	3.570000
0.012601	3.570000
0.012612	3.570000
0.012624	3.570000
0.012635	3.570000
0.012647	3.570000
0.012658	3.570000
0.012670	3.570000
0.012682	3.570000
0.012693	3.570000
0.012705	3.570000
0.012716	3.570000
0.012728	3.570000
0.012739	3.570000
0.012751	3.500000
0.012763	3.500000
0.012774	3.500000
0.012786	3.500000
0.012797	3.500000
0.012809	3.500000
0.012820	3.500000
0.012832	3.570000
0.012843	3.570000
0.012855	3.500000
0.012867	3.500000
0.012878	3.500000
0.012890	3.570000
0.012901	3.570000
0.012913	3.570000
0.012924	3.500000
0.012936	3.500000
0.012948	3.500000
0.012959	3.570000
0.012971	3.570000
0.012982	3.570000
0.012994	3.570000
0.013006	3.570000
0.013017	3.570000
0.013029	3.500000
0.013040	3.500000
0.013052	3.500000
0.013063	3.500000
0.013075	3.500000
0.013087	3.500000
0.013098	3.570000
0.013110	3.570000
0.013121	3.570000
0.013133	3.570000
0.013145	3.570000
0.013156	3.570000
0.013168	3.570000
0.013180	3.570000
0.013190	3.570000
